20230414_21:44:44 -  App Detail error for com.walking.stepbooster on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_21:44:44 -  App Detail error for com.walking.stepbooster on detail video_link: 'NoneType' object is not subscriptable 
20230414_21:44:44 -  App Detail error for com.walking.stepbooster on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:44:44 -  App Detail error for com.walking.stepbooster on detail developer_address: list index out of range 
20230414_21:45:34 -  App Detail error for com.train.ramp.jumping on detail video_link: 'NoneType' object is not subscriptable 
20230414_21:46:23 -  App Detail error for com.solitaire.klondike.my.magic.dragon.friends.cardgames on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:47:34 -  App Detail error for com.solitaire.tripeaks.happyland.android on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:47:34 -  App Detail error for com.solitaire.tripeaks.happyland.android on detail developer_address: list index out of range 
20230414_21:50:29 -  App Detail error for com.seven.nursestory2 on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_21:50:29 -  App Detail error for com.seven.nursestory2 on detail video_link: 'NoneType' object is not subscriptable 
20230414_21:50:29 -  App Detail error for com.seven.nursestory2 on detail developer_address: list index out of range 
20230415_18:08:03 -  App Detail error for ai.replika.app on detail video_link: 'NoneType' object is not subscriptable 
20230415_18:10:36 -  App Detail error for app.kids360.parent on detail video_link: 'NoneType' object is not subscriptable 
20230415_18:10:36 -  App Detail error for app.kids360.parent on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_18:11:07 -  App Detail error for app.plant.identification on detail video_link: 'NoneType' object is not subscriptable 
20230415_18:11:08 -  App Detail error for app.plant.identification on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_18:11:48 -  App Detail error for com.dressup.avatar.yoyo.doll on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_18:13:22 -  App Detail error for com.relevantmobile.texasroadhouse on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_18:13:22 -  App Detail error for com.relevantmobile.texasroadhouse on detail video_link: 'NoneType' object is not subscriptable 
20230415_18:13:22 -  App Detail error for com.relevantmobile.texasroadhouse on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_18:13:22 -  App Detail error for com.relevantmobile.texasroadhouse on detail developer_address: list index out of range 
20230428_22:02:17 -  App Detail error for com.PYOPYO.StarTracker on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:02:17 -  App Detail error for com.PYOPYO.StarTracker on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:02:17 -  App Detail error for com.PYOPYO.StarTracker on detail os: 'NoneType' object is not subscriptable 
20230428_22:02:17 -  App Detail error for com.PYOPYO.StarTracker on detail app_version: 'NoneType' object is not subscriptable 
20230428_22:03:41 -  App Detail error for com.stardust.app on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:03:41 -  App Detail error for com.stardust.app on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:03:41 -  App Detail error for com.stardust.app on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:03:41 -  App Detail error for com.stardust.app on detail developer_address: list index out of range 
20230428_22:05:02 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:05:02 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:05:02 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail published_date: 'NoneType' object is not subscriptable 
20230428_22:05:02 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail published_timestamp: 'NoneType' object is not subscriptable 
20230428_22:05:02 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:05:02 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail developer_address: list index out of range 
20230428_22:05:52 -  App Detail error for com.cavagrill.cavagrill.android.app on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:05:52 -  App Detail error for com.cavagrill.cavagrill.android.app on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:05:52 -  App Detail error for com.cavagrill.cavagrill.android.app on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:05:52 -  App Detail error for com.cavagrill.cavagrill.android.app on detail developer_address: list index out of range 
20230428_22:06:27 -  App Detail error for com.channel.live.accuate.forecast.weather on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:06:27 -  App Detail error for com.channel.live.accuate.forecast.weather on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:07:08 -  App Detail error for com.wf.wellsfargomobile on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:07:08 -  App Detail error for com.wf.wellsfargomobile on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:07:08 -  App Detail error for com.wf.wellsfargomobile on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:07:08 -  App Detail error for com.wf.wellsfargomobile on detail developer_address: list index out of range 
20230428_22:08:09 -  App Detail error for com.ymca.universalapp on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:08:09 -  App Detail error for com.ymca.universalapp on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:08:09 -  App Detail error for com.ymca.universalapp on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:08:58 -  App Detail error for grainy.gmanga on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:08:58 -  App Detail error for grainy.gmanga on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:08:58 -  App Detail error for grainy.gmanga on detail developer_address: list index out of range 
20230428_22:09:56 -  App Detail error for com.cupshe.cupshe on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:09:56 -  App Detail error for com.cupshe.cupshe on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:09:56 -  App Detail error for com.cupshe.cupshe on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:09:56 -  App Detail error for com.cupshe.cupshe on detail developer_address: list index out of range 
20230428_22:11:11 -  App Detail error for com.DogSong.Pianotiles.Musicgames.edm on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:11:11 -  App Detail error for com.DogSong.Pianotiles.Musicgames.edm on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:11:59 -  App Detail error for com.edjing.edjingdjturntable on detail video_link: list index out of range 
20230428_22:11:59 -  App Detail error for com.edjing.edjingdjturntable on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:11:59 -  App Detail error for com.edjing.edjingdjturntable on detail os: 'NoneType' object is not subscriptable 
20230428_22:12:51 -  App Detail error for com.expedia.bookings on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:12:51 -  App Detail error for com.expedia.bookings on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:12:51 -  App Detail error for com.expedia.bookings on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:13:24 -  App Detail error for com.stringr.android.stringr on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:13:24 -  App Detail error for com.stringr.android.stringr on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:13:24 -  App Detail error for com.stringr.android.stringr on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:13:58 -  App Detail error for com.stromming.planta on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:13:58 -  App Detail error for com.stromming.planta on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:14:48 -  App Detail error for family.tracker.my on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:14:48 -  App Detail error for family.tracker.my on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:15:26 -  App Detail error for com.ubercab.eats on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:15:26 -  App Detail error for com.ubercab.eats on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:15:26 -  App Detail error for com.ubercab.eats on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:15:26 -  App Detail error for com.ubercab.eats on detail developer_address: list index out of range 
20230428_22:17:05 -  App Detail error for fr.thema.wear.watch.feisar on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:17:05 -  App Detail error for fr.thema.wear.watch.feisar on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:17:05 -  App Detail error for fr.thema.wear.watch.feisar on detail os: 'NoneType' object is not subscriptable 
20230428_22:17:06 -  App Detail error for fr.thema.wear.watch.feisar on detail app_version: 'NoneType' object is not subscriptable 
20230428_22:18:16 -  App Detail error for com.talabat on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:18:16 -  App Detail error for com.talabat on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:18:16 -  App Detail error for com.talabat on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:18:16 -  App Detail error for com.talabat on detail os: 'NoneType' object is not subscriptable 
20230428_22:18:16 -  App Detail error for com.talabat on detail developer_address: list index out of range 
20230428_22:18:16 -  App Detail error for com.talabat on detail app_version: 'NoneType' object is not subscriptable 
20230428_22:19:18 -  App Detail error for in.swiggy.android on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:19:18 -  App Detail error for in.swiggy.android on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:19:18 -  App Detail error for in.swiggy.android on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:19:18 -  App Detail error for in.swiggy.android on detail developer_address: list index out of range 
20230428_22:20:18 -  App Detail error for je.fit on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:20:18 -  App Detail error for je.fit on detail os: 'NoneType' object is not subscriptable 
20230428_22:20:18 -  App Detail error for je.fit on detail app_version: 'NoneType' object is not subscriptable 
20230428_22:23:46 -  App Detail error for com.brinker.chilis on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:23:46 -  App Detail error for com.brinker.chilis on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:23:46 -  App Detail error for com.brinker.chilis on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:23:46 -  App Detail error for com.brinker.chilis on detail developer_address: list index out of range 
20230428_22:24:21 -  App Detail error for com.brunswickbowling.sync.passport on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:24:21 -  App Detail error for com.brunswickbowling.sync.passport on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:24:21 -  App Detail error for com.brunswickbowling.sync.passport on detail published_date: 'NoneType' object is not subscriptable 
20230428_22:24:21 -  App Detail error for com.brunswickbowling.sync.passport on detail published_timestamp: 'NoneType' object is not subscriptable 
20230428_22:24:21 -  App Detail error for com.brunswickbowling.sync.passport on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:26:34 -  App Detail error for com.buoy76.huntpredictor on detail video_link: list index out of range 
20230428_22:26:34 -  App Detail error for com.buoy76.huntpredictor on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:27:25 -  App Detail error for com.evernote on detail video_link: list index out of range 
20230428_22:27:25 -  App Detail error for com.evernote on detail published_date: 'NoneType' object is not subscriptable 
20230428_22:27:25 -  App Detail error for com.evernote on detail published_timestamp: 'NoneType' object is not subscriptable 
20230428_22:27:25 -  App Detail error for com.evernote on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:27:25 -  App Detail error for com.evernote on detail os: 'NoneType' object is not subscriptable 
20230428_22:27:25 -  App Detail error for com.evernote on detail app_version: 'NoneType' object is not subscriptable 
20230428_22:32:41 -  App Detail error for com.computerlunch.evolution on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:34:02 -  App Detail error for com.contentsfirst.tappytoon on detail video_link: list index out of range 
20230428_22:34:02 -  App Detail error for com.contentsfirst.tappytoon on detail os: 'NoneType' object is not subscriptable 
20230428_22:34:02 -  App Detail error for com.contentsfirst.tappytoon on detail app_version: 'NoneType' object is not subscriptable 
20230428_22:35:09 -  App Detail error for com.dalcomsoft.ssat on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:35:09 -  App Detail error for com.dalcomsoft.ssat on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:36:26 -  App Detail error for com.ihd.waterrace on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:37:18 -  App Detail error for com.island.card on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:43:32 -  App Detail error for com.mcu.reolink on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:43:32 -  App Detail error for com.mcu.reolink on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:43:32 -  App Detail error for com.mcu.reolink on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:43:32 -  App Detail error for com.mcu.reolink on detail developer_address: list index out of range 
20230428_22:44:35 -  App Detail error for com.mirrorai.app on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:44:35 -  App Detail error for com.mirrorai.app on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:45:34 -  App Detail error for com.NGG.BlockTech on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:45:34 -  App Detail error for com.NGG.BlockTech on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:46:41 -  App Detail error for com.netbooster.proxy on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:46:41 -  App Detail error for com.netbooster.proxy on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:46:41 -  App Detail error for com.netbooster.proxy on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:46:41 -  App Detail error for com.netbooster.proxy on detail developer_address: list index out of range 
20230428_22:47:26 -  App Detail error for com.recommended.videocall on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:47:26 -  App Detail error for com.recommended.videocall on detail os: 'NoneType' object is not subscriptable 
20230428_22:48:04 -  App Detail error for com.se7en.music.battle.poppy.fnf on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:48:04 -  App Detail error for com.se7en.music.battle.poppy.fnf on detail developer_address: list index out of range 
20230428_22:49:35 -  App Detail error for com.Skygo.Stickmanfalling on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:50:15 -  App Detail error for com.stockx.stockx on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:50:15 -  App Detail error for com.stockx.stockx on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:50:15 -  App Detail error for com.stockx.stockx on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:50:15 -  App Detail error for com.stockx.stockx on detail developer_address: list index out of range 
20230428_22:51:12 -  App Detail error for com.amrita.emperor on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:52:48 -  App Detail error for com.app.Heardlegame1 on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_22:52:48 -  App Detail error for com.app.Heardlegame1 on detail video_link: 'NoneType' object is not subscriptable 
20230428_22:52:48 -  App Detail error for com.app.Heardlegame1 on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_22:52:48 -  App Detail error for com.app.Heardlegame1 on detail developer_address: list index out of range 
