20230428_23:17:05 -  App Detail error for family.tracker.my on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:17:05 -  App Detail error for family.tracker.my on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:17:59 -  App Detail error for com.ubercab.eats on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:17:59 -  App Detail error for com.ubercab.eats on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:17:59 -  App Detail error for com.ubercab.eats on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:17:59 -  App Detail error for com.ubercab.eats on detail developer_address: list index out of range 
20230428_23:20:42 -  App Detail error for fr.thema.wear.watch.feisar on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:20:42 -  App Detail error for fr.thema.wear.watch.feisar on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:20:42 -  App Detail error for fr.thema.wear.watch.feisar on detail os: 'NoneType' object is not subscriptable 
20230428_23:20:42 -  App Detail error for fr.thema.wear.watch.feisar on detail app_version: 'NoneType' object is not subscriptable 
20230428_23:21:07 -  App Detail error for com.talabat on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:21:07 -  App Detail error for com.talabat on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:21:07 -  App Detail error for com.talabat on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:21:07 -  App Detail error for com.talabat on detail os: 'NoneType' object is not subscriptable 
20230428_23:21:07 -  App Detail error for com.talabat on detail developer_address: list index out of range 
20230428_23:21:07 -  App Detail error for com.talabat on detail app_version: 'NoneType' object is not subscriptable 
20230428_23:22:31 -  App Detail error for in.swiggy.android on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:22:31 -  App Detail error for in.swiggy.android on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:22:31 -  App Detail error for in.swiggy.android on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:22:31 -  App Detail error for in.swiggy.android on detail developer_address: list index out of range 
20230428_23:22:59 -  App Detail error for je.fit on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:22:59 -  App Detail error for je.fit on detail os: 'NoneType' object is not subscriptable 
20230428_23:22:59 -  App Detail error for je.fit on detail app_version: 'NoneType' object is not subscriptable 
20230428_23:24:59 -  App Detail error for com.brinker.chilis on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:24:59 -  App Detail error for com.brinker.chilis on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:24:59 -  App Detail error for com.brinker.chilis on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:24:59 -  App Detail error for com.brinker.chilis on detail developer_address: list index out of range 
20230428_23:26:13 -  App Detail error for com.brunswickbowling.sync.passport on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:26:13 -  App Detail error for com.brunswickbowling.sync.passport on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:26:13 -  App Detail error for com.brunswickbowling.sync.passport on detail published_date: 'NoneType' object is not subscriptable 
20230428_23:26:13 -  App Detail error for com.brunswickbowling.sync.passport on detail published_timestamp: 'NoneType' object is not subscriptable 
20230428_23:26:13 -  App Detail error for com.brunswickbowling.sync.passport on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:26:39 -  App Detail error for com.buoy76.huntpredictor on detail video_link: list index out of range 
20230428_23:26:39 -  App Detail error for com.buoy76.huntpredictor on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:27:11 -  App Detail error for com.evernote on detail video_link: list index out of range 
20230428_23:27:11 -  App Detail error for com.evernote on detail published_date: 'NoneType' object is not subscriptable 
20230428_23:27:11 -  App Detail error for com.evernote on detail published_timestamp: 'NoneType' object is not subscriptable 
20230428_23:27:11 -  App Detail error for com.evernote on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:27:11 -  App Detail error for com.evernote on detail os: 'NoneType' object is not subscriptable 
20230428_23:27:11 -  App Detail error for com.evernote on detail app_version: 'NoneType' object is not subscriptable 
20230428_23:27:50 -  App Detail error for com.computerlunch.evolution on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:28:37 -  App Detail error for com.contentsfirst.tappytoon on detail video_link: list index out of range 
20230428_23:28:37 -  App Detail error for com.contentsfirst.tappytoon on detail os: 'NoneType' object is not subscriptable 
20230428_23:28:37 -  App Detail error for com.contentsfirst.tappytoon on detail app_version: 'NoneType' object is not subscriptable 
20230428_23:30:04 -  App Detail error for com.dalcomsoft.ssat on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:30:04 -  App Detail error for com.dalcomsoft.ssat on detail published_date: 'NoneType' object is not subscriptable 
20230428_23:30:04 -  App Detail error for com.dalcomsoft.ssat on detail published_timestamp: 'NoneType' object is not subscriptable 
20230428_23:30:04 -  App Detail error for com.dalcomsoft.ssat on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:30:42 -  App Detail error for com.ihd.waterrace on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:31:13 -  App Detail error for com.island.card on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:36:26 -  App Detail error for com.mcu.reolink on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:36:26 -  App Detail error for com.mcu.reolink on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:36:26 -  App Detail error for com.mcu.reolink on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:36:26 -  App Detail error for com.mcu.reolink on detail developer_address: list index out of range 
20230428_23:36:54 -  App Detail error for com.mirrorai.app on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:36:54 -  App Detail error for com.mirrorai.app on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:40:07 -  App Detail error for com.NGG.BlockTech on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:40:07 -  App Detail error for com.NGG.BlockTech on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:42:55 -  App Detail error for com.netbooster.proxy on detail price_inapp: 'NoneType' object is not subscriptable 
