20230428_21:25:22 -  App Detail error for com.cavagrill.cavagrill.android.app on detail video_link: 'NoneType' object is not subscriptable 
20230428_21:25:22 -  App Detail error for com.cavagrill.cavagrill.android.app on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_21:25:22 -  App Detail error for com.cavagrill.cavagrill.android.app on detail developer_address: list index out of range 
20230428_21:25:47 -  App Detail error for com.channel.live.accuate.forecast.weather on detail video_link: 'NoneType' object is not subscriptable 
20230428_21:25:47 -  App Detail error for com.channel.live.accuate.forecast.weather on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_21:26:14 -  App Detail error for com.wf.wellsfargomobile on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_21:26:14 -  App Detail error for com.wf.wellsfargomobile on detail video_link: 'NoneType' object is not subscriptable 
20230428_21:26:14 -  App Detail error for com.wf.wellsfargomobile on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_21:26:14 -  App Detail error for com.wf.wellsfargomobile on detail developer_address: list index out of range 
20230428_21:26:50 -  App Detail error for com.ymca.universalapp on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_21:26:50 -  App Detail error for com.ymca.universalapp on detail video_link: 'NoneType' object is not subscriptable 
20230428_21:26:50 -  App Detail error for com.ymca.universalapp on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_21:27:21 -  App Detail error for grainy.gmanga on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_21:27:21 -  App Detail error for grainy.gmanga on detail video_link: 'NoneType' object is not subscriptable 
20230428_21:27:21 -  App Detail error for grainy.gmanga on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_21:27:21 -  App Detail error for grainy.gmanga on detail developer_address: list index out of range 
20230428_21:28:01 -  App Detail error for com.cupshe.cupshe on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_21:28:01 -  App Detail error for com.cupshe.cupshe on detail video_link: 'NoneType' object is not subscriptable 
20230428_21:28:01 -  App Detail error for com.cupshe.cupshe on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_21:28:01 -  App Detail error for com.cupshe.cupshe on detail developer_address: list index out of range 
20230428_21:28:35 -  App Detail error for com.DogSong.Pianotiles.Musicgames.edm on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_21:28:35 -  App Detail error for com.DogSong.Pianotiles.Musicgames.edm on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_21:29:07 -  App Detail error for com.edjing.edjingdjturntable on detail video_link: list index out of range 
20230428_21:29:08 -  App Detail error for com.edjing.edjingdjturntable on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_21:29:08 -  App Detail error for com.edjing.edjingdjturntable on detail os: 'NoneType' object is not subscriptable 
20230428_21:29:39 -  App Detail error for com.expedia.bookings on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_21:29:39 -  App Detail error for com.expedia.bookings on detail video_link: list index out of range 
20230428_21:29:39 -  App Detail error for com.expedia.bookings on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_21:30:28 -  App Detail error for com.stringr.android.stringr on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_21:30:28 -  App Detail error for com.stringr.android.stringr on detail video_link: 'NoneType' object is not subscriptable 
20230428_21:30:28 -  App Detail error for com.stringr.android.stringr on detail pegi_detail: 'NoneType' object is not subscriptable 
