20230414_18:51:31 -  App Detail error for com.OnSoft.android.BluetoothChat on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:51:31 -  App Detail error for com.OnSoft.android.BluetoothChat on detail os: 'NoneType' object is not subscriptable 
20230414_18:51:31 -  App Detail error for com.OnSoft.android.BluetoothChat on detail app_version: 'NoneType' object is not subscriptable 
20230414_18:51:59 -  App Detail error for com.peoplefun.bricksnballs on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:53:04 -  App Detail error for com.paurau.MoveAnimals on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:58:59 -  App Detail error for com.mobirix.driveking on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:59:52 -  App Detail error for com.bros.memetroll on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:59:52 -  App Detail error for com.bros.memetroll on detail developer_address: list index out of range 
20230414_19:00:30 -  App Detail error for com.app.sammyfans on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:00:30 -  App Detail error for com.app.sammyfans on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:00:30 -  App Detail error for com.app.sammyfans on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:01:06 -  App Detail error for com.dragonflow.android.orbi on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:01:06 -  App Detail error for com.dragonflow.android.orbi on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:01:06 -  App Detail error for com.dragonflow.android.orbi on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:01:53 -  App Detail error for com.bimiboo.adventure on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:01:53 -  App Detail error for com.bimiboo.adventure on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:03:06 -  App Detail error for com.amanotes.db on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:03:51 -  App Detail error for com.playvalve.solitaire on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:03:51 -  App Detail error for com.playvalve.solitaire on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:04:36 -  App Detail error for com.microsoft.amp.apps.bingnews on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:04:36 -  App Detail error for com.microsoft.amp.apps.bingnews on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:04:36 -  App Detail error for com.microsoft.amp.apps.bingnews on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:04:36 -  App Detail error for com.microsoft.amp.apps.bingnews on detail app_version: 'NoneType' object is not subscriptable 
20230414_19:05:35 -  App Detail error for com.pokerstars.cebo.psp on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:06:44 -  App Detail error for com.microsoft.bing on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:06:44 -  App Detail error for com.microsoft.bing on detail video_link: list index out of range 
20230414_19:06:44 -  App Detail error for com.microsoft.bing on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:06:44 -  App Detail error for com.microsoft.bing on detail app_version: 'NoneType' object is not subscriptable 
20230414_19:07:57 -  App Detail error for com.prayapp.client on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:08:58 -  App Detail error for com.mx.ringtone.pro on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:09:35 -  App Detail error for com.me2zen.tripeaks.v4.and on detail video_link: 'NoneType' object is not subscriptable 
