20230415_16:46:18 -  App Detail error for app.plant.identification on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:46:18 -  App Detail error for app.plant.identification on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:46:45 -  App Detail error for io.wifimap.wifimap on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:46:45 -  App Detail error for io.wifimap.wifimap on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:47:37 -  App Detail error for asav.roomtemprature on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:47:37 -  App Detail error for asav.roomtemprature on detail video_link: list index out of range 
20230415_16:47:37 -  App Detail error for asav.roomtemprature on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:47:37 -  App Detail error for asav.roomtemprature on detail developer_address: list index out of range 
20230415_16:48:03 -  App Detail error for altergames.carlauncher on detail video_link: list index out of range 
20230415_16:48:03 -  App Detail error for altergames.carlauncher on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:48:30 -  App Detail error for com.accurate.forecast.live.weather.channel on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:48:30 -  App Detail error for com.accurate.forecast.live.weather.channel on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:48:30 -  App Detail error for com.accurate.forecast.live.weather.channel on detail developer_address: list index out of range 
20230415_16:49:20 -  App Detail error for com.topRingtones.TikTok on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:49:20 -  App Detail error for com.topRingtones.TikTok on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:49:20 -  App Detail error for com.topRingtones.TikTok on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:49:20 -  App Detail error for com.topRingtones.TikTok on detail developer_address: list index out of range 
20230415_16:49:46 -  App Detail error for com.tj.dslrprofessional.hdcamera on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:49:46 -  App Detail error for com.tj.dslrprofessional.hdcamera on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:50:12 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:50:12 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:50:12 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:50:12 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail developer_address: list index out of range 
20230415_16:50:38 -  App Detail error for com.dressup.avatar.yoyo.doll on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:51:29 -  App Detail error for com.RenownEntertainment.Bowling on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:51:55 -  App Detail error for com.meesho.supply on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:51:55 -  App Detail error for com.meesho.supply on detail video_link: list index out of range 
20230415_16:51:55 -  App Detail error for com.meesho.supply on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:51:55 -  App Detail error for com.meesho.supply on detail os: 'NoneType' object is not subscriptable 
20230415_16:51:55 -  App Detail error for com.meesho.supply on detail developer_address: list index out of range 
20230415_16:51:55 -  App Detail error for com.meesho.supply on detail app_version: 'NoneType' object is not subscriptable 
20230415_16:52:21 -  App Detail error for com.relevantmobile.texasroadhouse on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:52:21 -  App Detail error for com.relevantmobile.texasroadhouse on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:52:21 -  App Detail error for com.relevantmobile.texasroadhouse on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:52:21 -  App Detail error for com.relevantmobile.texasroadhouse on detail developer_address: list index out of range 
20230415_16:52:47 -  App Detail error for com.memsgroupinc.fishbox on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:52:47 -  App Detail error for com.memsgroupinc.fishbox on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:53:13 -  App Detail error for com.pnc.ecommerce.mobile on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:53:13 -  App Detail error for com.pnc.ecommerce.mobile on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:53:13 -  App Detail error for com.pnc.ecommerce.mobile on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:53:13 -  App Detail error for com.pnc.ecommerce.mobile on detail developer_address: list index out of range 
20230415_16:53:39 -  App Detail error for com.rmtheis.fireguard on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:53:39 -  App Detail error for com.rmtheis.fireguard on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:54:05 -  App Detail error for com.room.temperature.meter on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:54:05 -  App Detail error for com.room.temperature.meter on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:54:05 -  App Detail error for com.room.temperature.meter on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:54:31 -  App Detail error for com.taxsee.taxsee on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:54:31 -  App Detail error for com.taxsee.taxsee on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:54:31 -  App Detail error for com.taxsee.taxsee on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:54:31 -  App Detail error for com.taxsee.taxsee on detail os: 'NoneType' object is not subscriptable 
20230415_16:54:31 -  App Detail error for com.taxsee.taxsee on detail developer_address: list index out of range 
20230415_16:54:31 -  App Detail error for com.taxsee.taxsee on detail app_version: 'NoneType' object is not subscriptable 
20230415_16:54:57 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:54:57 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:54:57 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:54:57 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail developer_address: list index out of range 
20230415_16:55:22 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:55:22 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:55:22 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:55:22 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail developer_address: list index out of range 
20230415_16:55:49 -  App Detail error for com.squarevalley.i8birdies on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:55:49 -  App Detail error for com.squarevalley.i8birdies on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:55:49 -  App Detail error for com.squarevalley.i8birdies on detail os: 'NoneType' object is not subscriptable 
20230415_16:55:49 -  App Detail error for com.squarevalley.i8birdies on detail app_version: 'NoneType' object is not subscriptable 
20230415_16:56:14 -  App Detail error for com.thomsonreuters.reuters on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:56:14 -  App Detail error for com.thomsonreuters.reuters on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:56:14 -  App Detail error for com.thomsonreuters.reuters on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:56:14 -  App Detail error for com.thomsonreuters.reuters on detail developer_address: list index out of range 
20230415_16:56:41 -  App Detail error for com.mayurpanki.beautplucam on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:56:41 -  App Detail error for com.mayurpanki.beautplucam on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:56:41 -  App Detail error for com.mayurpanki.beautplucam on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:56:41 -  App Detail error for com.mayurpanki.beautplucam on detail developer_address: list index out of range 
20230415_16:57:06 -  App Detail error for com.OnSoft.android.BluetoothChat on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:57:06 -  App Detail error for com.OnSoft.android.BluetoothChat on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:57:06 -  App Detail error for com.OnSoft.android.BluetoothChat on detail os: 'NoneType' object is not subscriptable 
20230415_16:57:06 -  App Detail error for com.OnSoft.android.BluetoothChat on detail app_version: 'NoneType' object is not subscriptable 
20230415_16:57:32 -  App Detail error for com.peoplefun.bricksnballs on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:57:58 -  App Detail error for com.paurau.MoveAnimals on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:58:51 -  App Detail error for com.mobirix.driveking on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_16:59:17 -  App Detail error for com.bros.memetroll on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:59:17 -  App Detail error for com.bros.memetroll on detail developer_address: list index out of range 
20230415_16:59:43 -  App Detail error for com.app.sammyfans on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_16:59:43 -  App Detail error for com.app.sammyfans on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:59:43 -  App Detail error for com.app.sammyfans on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_17:00:09 -  App Detail error for com.dragonflow.android.orbi on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_17:00:09 -  App Detail error for com.dragonflow.android.orbi on detail video_link: 'NoneType' object is not subscriptable 
20230415_17:00:09 -  App Detail error for com.dragonflow.android.orbi on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_17:00:36 -  App Detail error for com.bimiboo.adventure on detail video_link: 'NoneType' object is not subscriptable 
20230415_17:00:36 -  App Detail error for com.bimiboo.adventure on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_17:01:02 -  App Detail error for com.amanotes.db on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_17:01:28 -  App Detail error for com.playvalve.solitaire on detail video_link: 'NoneType' object is not subscriptable 
20230415_17:01:28 -  App Detail error for com.playvalve.solitaire on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_17:01:54 -  App Detail error for com.microsoft.amp.apps.bingnews on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_17:01:54 -  App Detail error for com.microsoft.amp.apps.bingnews on detail video_link: 'NoneType' object is not subscriptable 
20230415_17:01:54 -  App Detail error for com.microsoft.amp.apps.bingnews on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_17:01:54 -  App Detail error for com.microsoft.amp.apps.bingnews on detail app_version: 'NoneType' object is not subscriptable 
20230415_17:02:45 -  App Detail error for com.microsoft.bing on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_17:02:45 -  App Detail error for com.microsoft.bing on detail video_link: list index out of range 
20230415_17:02:45 -  App Detail error for com.microsoft.bing on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_17:02:45 -  App Detail error for com.microsoft.bing on detail app_version: 'NoneType' object is not subscriptable 
20230415_17:03:11 -  App Detail error for com.prayapp.client on detail video_link: 'NoneType' object is not subscriptable 
20230415_17:03:37 -  App Detail error for com.mx.ringtone.pro on detail video_link: 'NoneType' object is not subscriptable 
20230415_17:04:03 -  App Detail error for com.me2zen.tripeaks.v4.and on detail video_link: 'NoneType' object is not subscriptable 
20230415_17:04:03 -  App Detail error for com.me2zen.tripeaks.v4.and on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_17:04:30 -  App Detail error for com.walking.stepbooster on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_17:04:30 -  App Detail error for com.walking.stepbooster on detail video_link: 'NoneType' object is not subscriptable 
20230415_17:04:30 -  App Detail error for com.walking.stepbooster on detail pegi_detail: 'NoneType' object is not subscriptable 
